role	word	 frq
OTH	hand	604
OTH	voor	5908
OTH	weg	2234
OTH	zie	3736
OTH	dit	6483
OTH	plaatje	309
TRG	uitgevist	1
OTH	haalt	88
OTH	appels	45
OTH	boom	366
TRG	nam	44
TRG	viel	379
TRG	eraf	604
TRG	bijna	346
TRG	bloempot	5
TRG	via	2
TRG	denk	183
TRG	vist	38
TRG	graag	115
TRG	gekocht	126
TRG	slikte	3
TRG	appelboom	41
TRG	deed	160
TRG	plukte	16
TRG	iets	399
TRG	andere	925
TRG	liep	163
TRG	merkte	3
TRG	riep	42
TRG	hard	540
TRG	zangeres	3
TRG	emmer	434
TRG	pakte	142
TRG	plantje	14
TRG	zangeresje	2
TRG	vraagt	102
TRG	probeert	44
OTH	geeft	335
OTH	bloemen	202
OTH	water	1468
TRG	bloempje	6
OTH	als	4561
OTH	wijst	26
OTH	zien	1757
OTH	nou	20196
OTH	toe	1693
OTH	die	23558
OTH	schopt	10
OTH	hoeft	404
OTH	te	4187
OTH	wijzen	25
OTH	want	3582
TRG	grappig	12
TRG	veertje	1
OTH	veertje	3
TRG	kijk	5072
OTH	pakken	1341
TRG	hebben	2044
OTH	wil	5557
OTH	ijsje	152
OTH	kopen	387
TRG	mag	3165
TRG	eentje	297
OTH	hem	4487
OTH	geven	608
TRG	nee	13494
OTH	ervan	92
OTH	slikt	8
OTH	opeten	552
TRG	lopen	649
TRG	man	788
TRG	bij	2747
OTH	klimmen	107
TRG	sproeien	3
TRG	door	540
TRG	natmaken	2
TRG	anders	435
TRG	dood	118
OTH	gaan	5371
OTH	dood	111
OTH	dokter	248
OTH	plukt	5
OTH	bloem	245
OTH	haar	1396
TRG	slaapt	242
OTH	huilt	103
TRG	ijsjes	34
TRG	mevrouw	327
OTH	mevrouw	255
TRG	nieuwe	732
TRG	agent	5
TRG	komen	418
TRG	eigen	148
TRG	schuld	16
TRG	gewoon	303
OTH	nee	19122
TRG	alweer	90
TRG	vol	114
TRG	verpleegster	20
TRG	ernaast	46
TRG	schepnet	24
TRG	springt	85
TRG	misschien	188
TRG	cowboytje	1
TRG	aanlopen	44
TRG	vroeg	53
TRG	of	676
TRG	mocht	104
TRG	schoppen	28
TRG	moest	141
TRG	opvissen	1
TRG	werd	93
TRG	ijscoman	45
TRG	kreeg	157
TRG	keer	618
TRG	toe	721
TRG	zette	11
TRG	stam	8
TRG	bang	151
TRG	want	1093
TRG	beetje	1080
TRG	schopte	18
TRG	opeens	180
TRG	heb	3053
TRG	cent	28
TRG	hapte	1
TRG	lik	16
TRG	opendoen	69
TRG	volmaken	3
TRG	krijgt	297
TRG	wordt	446
TRG	denkt	46
TRG	indoen	32
TRG	deze	5676
TRG	aandraaien	1
TRG	dit	4316
TRG	stopt	38
TRG	haren	74
TRG	dom	30
TRG	mijn	1527
TRG	opvangen	5
TRG	betalen	92
TRG	wit	119
TRG	donker	124
TRG	groen	160
TRG	grijs	21
TRG	dus	369
TRG	jij	2886
TRG	laddertje	3
TRG	wachten	141
TRG	zelf	249
TRG	vallen	847
OTH	gieter	54
TRG	giet	11
TRG	ijsco	33
OTH	ben	3167
OTH	vergeten	206
OTH	danseresje	4
OTH	denk	1976
OTH	volgens	820
OTH	mij	2805
OTH	veel	1608
OTH	staat	1820
OTH	maakt	481
OTH	zoveel	247
OTH	komt	2588
OTH	bij	5071
OTH	likt	9
OTH	prinses	129
OTH	vind	2431
OTH	vertelt	62
TRG	gebruiken	88
OTH	iemand	305
TRG	onder	450
OTH	pakt	180
OTH	he	17280
OTH	zijn	8336
OTH	veer	15
OTH	hoofd	455
TRG	breken	7
TRG	danseresje	1
OTH	jawel	550
OTH	wist	206
OTH	net	1286
TRG	oplikken	3
TRG	eerst	628
TRG	nadat	3
TRG	opgelikt	1
TRG	harde	10
TRG	eten	1207
TRG	stoppen	149
TRG	tennisnetten	1
TRG	tovenaar	21
TRG	wegdoen	32
OTH	verdrietig	32
TRG	alsjeblieft	63
OTH	likken	24
OTH	moeilijke	92
TRG	pikken	6
OTH	valt	659
OTH	klimt	33
OTH	ladder	34
OTH	vallen	336
OTH	zeker	512
OTH	appel	346
OTH	plukken	21
TRG	meenemen	159
OTH	neemt	126
OTH	gewoon	1718
OTH	mee	2531
TRG	worden	175
TRG	gieten	15
TRG	helpt	69
TRG	raapt	8
TRG	handen	191
TRG	boos	321
OTH	bedoel	421
TRG	wist	29
TRG	gedaan	863
TRG	huilde	67
TRG	vind	550
TRG	moeilijk	127
TRG	gevangenis	17
TRG	gegeven	47
TRG	trappen	12
TRG	durf	14
TRG	ziekenhuis	87
OTH	zuster	4
TRG	gevallen	568
TRG	hengel	9
TRG	iemand	162
TRG	ijs	206
TRG	meneer	1248
OTH	hou	356
OTH	voet	195
OTH	even	11149
OTH	stil	132
OTH	hoort	963
OTH	verhaaltje	557
OTH	verder	992
TRG	ziet	594
TRG	straat	297
TRG	o	996
TRG	dinges	22
TRG	strand	203
TRG	schiet	34
TRG	vangnet	4
TRG	waar	1600
OTH	prima	328
TRG	koningin	54
TRG	kraampje	10
OTH	keer	1673
TRG	smullen	11
TRG	nieuw	120
TRG	neer	77
OTH	mooi	2914
TRG	trapt	17
TRG	einde	24
TRG	kraantje	2
TRG	tenen	28
TRG	groene	113
TRG	rots	54
TRG	mij	1914
TRG	direct	22
TRG	meertje	6
TRG	houten	52
TRG	voet	128
TRG	naast	111
TRG	ballet	8
TRG	noem	15
TRG	vergeten	51
TRG	klaar	684
TRG	daarvan	16
TRG	bolletjes	31
TRG	steen	184
TRG	stond	107
OTH	xxx	18646
OTH	super	7
TRG	eens	1578
TRG	wou	389
OTH	vond	362
OTH	daar	10077
TRG	lucht	206
TRG	hartstikke	12
TRG	likte	25
TRG	probeerde	8
TRG	pijn	366
TRG	aanzetten	33
TRG	nemen	137
TRG	he	3319
OTH	leuk	3010
OTH	fantastisch	35
TRG	klein	868
TRG	tuin	104
TRG	voorstellen	3
TRG	beker	114
TRG	vergiet	2
TRG	langs	101
TRG	springen	144
TRG	Jantje	28
TRG	zich	134
TRG	verkleed	7
TRG	als	978
TRG	schoot	143
TRG	erg	169
TRG	ophalen	52
TRG	trouwens	5
TRG	helft	11
TRG	mist	1
TRG	oppakte	1
TRG	verder	262
TRG	naam	63
TRG	bedenken	6
TRG	n	67
TRG	kleine	544
TRG	indiaantje	8
TRG	zoek	138
TRG	dacht	101
TRG	sta	35
TRG	hielp	22
TRG	klopt	9
TRG	cowboys	4
TRG	ergste	1
TRG	vijanden	1
TRG	elkaar	340
TRG	raarder	1
TRG	gepleurd	1
TRG	eigenlijk	207
TRG	gelijk	42
TRG	zou	36
TRG	pleuren	1
TRG	hier	6986
TRG	wacht	103
TRG	vang	4
TRG	jawel	189
TRG	hoor	1203
TRG	paar	209
OTH	jij	11364
TRG	ga	2391
TRG	waren	336
TRG	gelukkig	110
OTH	oke	212
TRG	stoere	1
TRG	hoog	261
TRG	zal	317
OTH	echt	1648
TRG	proeven	23
TRG	proefde	2
TRG	lekkere	44
TRG	lukte	9
OTH	gedaan	1582
TRG	mooie	429
OTH	probeer	217
TRG	fout	14
OTH	fout	68
TRG	vorige	27
TRG	plaatje	170
TRG	gezien	159
OTH	zullen	1736
OTH	overnieuw	30
TRG	waarvoor	10
TRG	doe	915
TRG	beeldschoon	1
TRG	poot	45
TRG	plas	81
TRG	al	911
TRG	aangezet	6
TRG	gesmuld	1
TRG	per	32
TRG	ongeluk	50
TRG	zwemmen	239
TRG	betoveren	1
TRG	lange	213
TRG	tong	37
TRG	zeg	334
TRG	lijkt	70
TRG	kikker	1330
TRG	boer	177
OTH	naar	5298
TRG	ie	4512
OTH	kijken	4027
TRG	u	170
TRG	grond	533
TRG	ruikt	18
TRG	boem	452
TRG	straks	175
TRG	betaalt	20
TRG	overheen	59
TRG	geef	211
TRG	bomen	143
TRG	kleur	93
TRG	mooi	568
TRG	lukt	51
TRG	jammer	21
TRG	wegrennen	37
TRG	terwijl	11
TRG	leuk	614
TRG	hoeft	90
TRG	zeer	58
TRG	liggen	440
TRG	houdt	57
TRG	altijd	210
TRG	stopte	10
TRG	duidelijk	2
TRG	ijskar	9
TRG	helaas	5
TRG	kleuren	86
TRG	enige	2
TRG	rijk	2
TRG	spullen	50
TRG	ruilt	3
TRG	ervoor	15
TRG	niks	431
TRG	kroontje	17
TRG	daarom	69
TRG	noemen	11
TRG	we	1572
TRG	stelen	2
TRG	hapje	41
TRG	gemene	2
TRG	domme	25
TRG	pukkel	2
TRG	neus	261
TRG	rent	158
TRG	langzaam	13
TRG	inhalen	2
TRG	bezem	41
TRG	kunnen	262
TRG	maken	2851
TRG	vrienden	8
TRG	ben	961
TRG	vriendin	2
TRG	tot	96
TRG	genoeg	90
TRG	bollen	9
TRG	dik	68
TRG	keertje	103
TRG	verkeerde	11
TRG	haak	8
TRG	lek	14
TRG	been	93
TRG	ijzel	1
TRG	haai	30
TRG	geprikt	10
TRG	natte	25
TRG	kleren	64
TRG	toch	986
TRG	vreemd	3
TRG	held	1
TRG	stoer	1
TRG	hopelijk	3
TRG	gaatjes	22
TRG	uitgelopen	1
TRG	ingekomen	1
TRG	blauw	250
TRG	laat	332
TRG	teentjes	8
TRG	danst	3
TRG	stromen	3
TRG	laten	234
TRG	binnen	191
TRG	straf	6
TRG	zie	741
TRG	mooier	16
TRG	beter	92
TRG	stop	65
TRG	doei	24
TRG	samen	210
TRG	slikken	6
TRG	wees	15
TRG	alle	381
TRG	trekt	71
TRG	gek	140
TRG	gezicht	30
TRG	geel	175
TRG	bolletje	44
TRG	echt	321
TRG	zien	674
TRG	vissen	366
TRG	steekt	12
TRG	streep	21
TRG	lach	17
TRG	twee	1439
TRG	tijd	46
TRG	kijken	2254
OTH	schepnet	1
OTH	kijk	5865
TRG	gegaan	50
TRG	gehaald	38
TRG	geplukt	3
TRG	groeien	14
OTH	plantjes	33
OTH	laten	705
OTH	groeien	57
OTH	duidelijk	146
TRG	wijst	16
TRG	prins	14
OTH	zei	955
TRG	waarom	277
TRG	volgende	152
TRG	veel	595
TRG	boef	40
TRG	begint	85
TRG	precies	38
TRG	bekijkt	2
OTH	deze	5539
TRG	heette	16
TRG	maakte	50
TRG	gebeurd	64
TRG	krijgen	101
TRG	dolgelukkig	4
TRG	nooit	58
TRG	buiten	638
TRG	zoet	12
TRG	kind	414
TRG	rijp	3
TRG	kleinste	8
TRG	alles	205
TRG	schoof	1
TRG	speelde	11
TRG	elke	32
TRG	stapt	27
TRG	prinsesjes	1
TRG	opent	1
TRG	wilt	128
TRG	kapitein	78
TRG	vacht	2
TRG	flikkert	1
OTH	grappig	159
TRG	snackbar	45
TRG	snuffelt	10
TRG	kromme	2
TRG	vlak	10
TRG	janken	10
OTH	janken	5
TRG	drupt	2
TRG	druppeltjes	6
TRG	vulde	1
TRG	richting	5
TRG	minder	5
TRG	somber	1
TRG	bedankt	29
TRG	hartelijk	3
TRG	bedank	2
TRG	leefde	6
TRG	lang	178
TRG	muts	148
TRG	lekkerder	2
TRG	rug	53
TRG	alstublieft	23
TRG	makker	1
TRG	film	8
TRG	prima	12
TRG	geld	121
TRG	vijver	28
TRG	sloot	46
TRG	sprong	44
TRG	huppelend	1
TRG	getrapt	3
TRG	aangelopen	25
TRG	kleiner	24
TRG	opschrijven	24
TRG	vreselijk	2
TRG	opnieuw	45
TRG	zodat	21
TRG	werkt	6
TRG	plan	3
TRG	groeit	4
TRG	Piet	67
TRG	natuurlijk	76
TRG	oke	33
TRG	pluk	9
TRG	hierzo	53
TRG	kant	290
TRG	trapte	5
TRG	keihard	47
TRG	haal	63
TRG	bedankte	2
OTH	cent	17
TRG	vasthouden	114
TRG	rende	72
TRG	helpen	402
TRG	afgelopen	95
TRG	proefje	1
TRG	tegenaan	27
TRG	oeh	133
TRG	ah	912
TRG	volgens	28
OTH	wauw	45
OTH	andere	1782
TRG	ergens	56
TRG	kopje	133
TRG	bruin	41
TRG	onderste	3
TRG	hangen	55
TRG	lag	82
TRG	opstaan	63
TRG	bladzijde	41
OTH	ho	981
TRG	laag	5
TRG	belandt	3
TRG	groot	575
TRG	daarmee	41
TRG	schepte	1
TRG	tuintje	1
TRG	verzorgen	1
TRG	ertegen	1
OTH	erg	819
TRG	dolblij	1
TRG	plant	27
OTH	helemaal	2326
OTH	snap	126
OTH	Frederike	88
TRG	hallo	326
TRG	houden	110
TRG	oplossen	2
TRG	chocolade	26
TRG	vanille	4
TRG	kabouter	153
TRG	lieve	32
TRG	stem	11
OTH	klaar	1018
TRG	hou	100
TRG	hangt	36
TRG	verse	3
TRG	groenige	1
TRG	plof	2
TRG	bloempjes	5
TRG	gebeurt	71
TRG	la	73
TRG	vrolijk	23
TRG	oplikt	1
OTH	keurig	60
TRG	gelukt	12
OTH	waait	40
TRG	au	549
TRG	bovenaan	4
TRG	fles	165
TRG	gezet	29
TRG	kei	9
TRG	brandweerman	19
TRG	mens	19
TRG	ach	36
TRG	huis	1139
TRG	liet	67
TRG	bloeien	2
TRG	ene	121
TRG	sproeier	1
TRG	balletdanser	2
TRG	vliegt	145
TRG	mislukt	1
TRG	aardig	18
TRG	zorgt	2
TRG	neem	135
TRG	links	4
OTH	zich	326
TRG	heerlijk	21
TRG	smulde	2
TRG	hield	34
TRG	begiet	1
TRG	lelijke	3
OTH	vangt	14
OTH	gebeurd	225
OTH	Roline	2
OTH	graag	339
OTH	goede	197
TRG	achterna	69
OTH	normaal	70
TRG	gooien	227
TRG	varken	370
TRG	parken	2
OTH	eerste	214
OTH	raar	233
OTH	tweede	73
OTH	derde	36
TRG	vies	271
OTH	ruikt	48
TRG	breekt	7
TRG	omslaan	16
TRG	tevreden	4
TRG	verkopen	2
TRG	stenen	66
TRG	delen	1
TRG	meegenomen	66
TRG	geplukte	3
TRG	munt	2
TRG	sproeit	1
TRG	stok	72
OTH	zou	899
TRG	blijf	92
TRG	haartjes	63
TRG	afgepakt	31
TRG	stoute	104
OTH	handjes	175
OTH	ogen	326
TRG	assistent	1
TRG	snap	7
TRG	ver	82
TRG	winkeltje	10
TRG	voorbij	20
TRG	prinsje	3
TRG	rijpe	1
TRG	gekregen	244
TRG	lichtbruin	1
TRG	hetzelfde	23
TRG	slim	5
TRG	gevist	1
TRG	pakje	34
TRG	praten	138
TRG	deelt	1
TRG	stukje	332
TRG	voert	4
OTH	heb	9447
OTH	steentjes	49
OTH	bouwen	535
OTH	los	286
OTH	'n	1045
OTH	huis	1582
OTH	maken	3041
TRG	auto	3808
OTH	boek	1449
OTH	paard	764
TRG	poes	1421
TRG	tata	25
OTH	papegaai	52
TRG	haan	157
OTH	haan	146
TRG	geit	121
OTH	geit	77
OTH	poes	1076
TRG	koet	5
TRG	koetje	22
OTH	koetje	11
TRG	e	267
TRG	'n	367
OTH	kindjes	244
TRG	boek	1085
OTH	boekje	887
TRG	beer	548
OTH	beer	731
TRG	hond	2413
OTH	blaft	8
OTH	woef	72
OTH	ie	8629
OTH	boem	569
OTH	gevallen	649
OTH	ijs	87
TRG	ring	40
OTH	ringen	12
TRG	ge	66
OTH	geel	311
TRG	doos	274
OTH	leeg	344
TRG	rood	227
OTH	rood	436
OTH	rijden	885
OTH	kapot	1055
TRG	mauw	70
OTH	lieverd	188
OTH	waar	6404
OTH	mag	5569
OTH	es	921
TRG	paard	973
OTH	auto	2594
TRG	bah	130
OTH	wiel	75
OTH	eraf	331
OTH	buiten	888
OTH	blijf	296
OTH	niks	1301
OTH	trekken	212
OTH	vastgemaakt	9
TRG	poppetje	125
OTH	zit	4188
OTH	erin	807
OTH	gestopt	41
TRG	Sheila	2
TRG	stoel	645
OTH	stoel	863
OTH	zet	780
OTH	past	574
OTH	dom	141
OTH	muts	143
TRG	shawl	22
TRG	da	622
TRG	koen	2
TRG	schoen	158
OTH	schoen	224
OTH	boekjes	194
TRG	kas	3
OTH	kukeleku	33
TRG	haam	2
OTH	moeten	1779
OTH	lezen	1033
TRG	koe	689
OTH	koe	673
OTH	vraag	210
OTH	bemoei	14
OTH	d'r	974
OTH	hond	734
OTH	oogjes	208
OTH	blok	76
TRG	kim	6
OTH	eend	320
OTH	vogel	437
TRG	piep	206
OTH	piep	143
OTH	woord	106
OTH	kende	31
OTH	maf	6
OTH	metro	18
TRG	metro	5
TRG	boe	133
OTH	blokker	1
TRG	blok	171
OTH	alle	705
OTH	blokken	268
OTH	hupsakee	33
OTH	open	1173
TRG	deksel	110
OTH	deksel	126
OTH	sommige	32
OTH	ah	1751
OTH	hoesten	48
OTH	't	405
OTH	potje	337
OTH	dicht	1057
TRG	goot	9
OTH	groot	933
OTH	gezien	829
TRG	eg	1
OTH	oei	247
OTH	mauw	97
OTH	lamp	157
OTH	aangedaan	14
OTH	gekkerd	5
OTH	donker	195
TRG	doosje	79
OTH	iets	1281
OTH	speelgoed	128
OTH	genoeg	352
OTH	zeggen	1032
OTH	doosje	188
OTH	ach	220
OTH	draaien	469
TRG	inkomen	2
TRG	pee	8
OTH	daarheen	22
OTH	eigenlijk	1195
OTH	hoe	3011
TRG	moeten	476
TRG	d'r	132
OTH	zoek	380
OTH	kleintje	84
TRG	klop	15
TRG	zo'n	203
OTH	zo'n	923
OTH	klop	48
OTH	zoeken	695
OTH	knop	44
OTH	losse	13
OTH	hebben	3740
TRG	seinpaal	11
OTH	jee	460
OTH	neem	456
TRG	rijden	1042
OTH	daarvoor	41
