role	word	 frq
TRG	poessie	12
OTH	ooh	280
TRG	zozoos	1
TRG	seutel	2
OTH	hoekla	1
TRG	ko	21
OTH	boekies	2
OTH	boekie	13
OTH	Nijntje	99
OTH	Ernie	309
TRG	Ernie	222
TRG	Nijntje	15
TRG	Tie	2
OTH	koekiemonster	28
TRG	mer	1
OTH	apies	6
TRG	apie	51
TRG	kokke	5
OTH	gakgak	2
OTH	kwakkwak	7
TRG	slape	2
TRG	oje	2
TRG	tein	12
OTH	apie	7
TRG	ap	15
TRG	appe	4
TRG	kippie	1
OTH	knippie	2
TRG	seute	2
TRG	piege	1
OTH	piegtuig	1
TRG	tijge	2
TRG	soetoe	1
TRG	ogie	1
OTH	ogies	1
OTH	hiero	6
TRG	ponne	2
TRG	Ponne	4
OTH	watte	68
TRG	kijke	65
TRG	to	145
TRG	ijssie	11
TRG	balle	19
OTH	an	65
OTH	hoepekee	11
OTH	noodduik	1
OTH	goe	3
TRG	isse	41
TRG	didi	2
TRG	di	17
TRG	boemme	1
OTH	hohoho	11
TRG	poozichtig	1
TRG	aau	1
TRG	ooh	51
TRG	oop	14
TRG	zotes	1
OTH	hehe	110
OTH	tjongejonge	54
OTH	lepeltj	1
OTH	wintesport	1
OTH	fo	3
OTH	Milene	2
TRG	oppe	22
TRG	lijt	1
TRG	di's	6
TRG	dit's	3
OTH	ohoh	50
TRG	allem	2
TRG	die's	1
TRG	Klase	1
TRG	meis	1
TRG	Hansse	1
TRG	lonnetje	1
OTH	jaha	92
OTH	mhm	70
OTH	kadootjes	101
TRG	Sinteklaas	1
TRG	disse	6
TRG	mense	1
TRG	da's	15
TRG	tony	1
TRG	olebollen	2
TRG	appeslappe	1
OTH	oet	2
TRG	taas	2
TRG	alma	1
OTH	pfff	13
TRG	taasjes	1
TRG	tee	48
TRG	vas	2
TRG	papap	1
OTH	appelflapjes	1
TRG	oliebolletje	1
TRG	tatte	1
OTH	Zum	1
OTH	Geburtstag	1
TRG	oolbolletje	1
OTH	oliebolletje	2
OTH	mandarijtje	1
TRG	tjekke	1
